% Transportation data by me (E. Hedemalm, I. Panorel, A. Soderberg) when walking, bus and car.
% Internal name of the set.
@relation sensor

% Attributes.
% startTimeSecond,
% accMin, accMax, accAvg, accStdev,
% gyroMin, gyroMax, gyroAvg, gyroStdev,

@attribute startTimeSecond real

@attribute accMin real
@attribute accMax real
@attribute accAvg real
@attribute accStdev real

@attribute gyroMin real
@attribute gyroMax real
@attribute gyroAvg real
@attribute gyroStdev real

% transport, PlaneT(axi) -> Bus, PlaneC, PlaneL -> Plane
@attribute transport {Idle,Bus,Foot,Car,Bike,Train,Tram,Subway,Boat,Plane}

% Hedemalm E., Andreas S., Panorel I., Araujo V., Hedemalm D., Butterfield E., Zouzou, B. Hedemalm, B2. Hedemalm,  Reinhold B.,  K. Wängberg,

% Panorel I.: Idle, Walking, Car

% startTimeSecond, accMin, accMax, accAvg, accStdev, gyroMin, gyroMax, gyroAvg, gyroStdev, transport
% DATA-START Bus data from a trip to the city-center.
% Data by,
@data
1490767039,8.514091,10.734997,9.761158,1.4142135,0.01647699,0.3664774,0.120893836,0.0,Train
1490767044,8.882546,10.535428,9.741408,0.0,0.025804823,0.49376008,0.123321965,0.0,Train
1490767049,8.615074,10.834328,9.762133,2.4494898,0.022887869,0.70446324,0.14498973,0.0,Train
1490767055,8.99529,10.67942,9.748805,0.0,0.023710739,0.30970994,0.07496019,0.0,Train
1490767060,9.041103,10.456961,9.753925,0.0,0.020642959,0.6340264,0.13346292,0.0,Train
1490767065,8.829672,10.5513735,9.742232,0.0,0.009923435,0.6745017,0.14401957,0.0,Train
1490767070,9.305514,10.071228,9.714565,0.0,0.008633306,0.4209224,0.09073206,0.0,Train
1490767075,8.63045,10.871685,9.727676,1.4142135,0.01095496,0.8351873,0.23260094,0.0,Train
1490767080,8.966684,10.771645,9.679772,1.0,0.010991275,0.39297214,0.11764571,0.0,Train
1490767085,9.070041,10.569468,9.684494,0.0,0.0082332585,0.20877458,0.06466485,0.0,Train
1490767090,8.984375,10.465532,9.665813,0.0,0.010872409,0.33797595,0.07625927,0.0,Train
1490767096,8.529926,10.861965,9.71993,2.236068,0.01388133,0.5190833,0.106834166,0.0,Train
1490767101,8.8042755,10.906377,9.67063,1.7320508,0.024067193,0.5527842,0.16042976,0.0,Train
1490767106,8.78247,10.789928,9.68637,1.7320508,0.009965437,0.24899039,0.0723976,0.0,Train
1490767111,8.610602,10.53433,9.698763,1.0,0.009648636,0.41338176,0.075854756,0.0,Train
1490767116,7.976221,11.963345,9.685683,7.745967,0.017218953,1.1531833,0.2014037,0.0,Train
1490767121,8.459544,10.954734,9.742443,2.6457512,0.03722448,0.5136784,0.21951479,0.0,Train
1490767126,9.22536,10.36077,9.734294,0.0,0.0035843218,0.32714784,0.077208586,0.0,Train
1490767131,9.137589,10.126211,9.722175,0.0,0.0139556285,0.49468753,0.08485155,0.0,Train
1490767136,8.896867,10.767986,9.802064,0.0,0.004326452,0.3293809,0.10494857,0.0,Train
1490767142,9.050875,10.464525,9.7588415,0.0,0.009802475,0.16538824,0.05979989,0.0,Train
1490767147,9.025802,10.414821,9.743108,0.0,0.0144132245,0.16287425,0.05530989,0.0,Train
1490767152,7.554929,14.165248,9.81727,7.4161983,0.008521033,1.8020488,0.26931864,1.4142135,Train
1490767157,8.881528,10.699361,9.739289,0.0,0.009678584,0.81823665,0.03294107,0.0,Train
1490767162,8.986996,10.335017,9.702551,0.0,0.015896304,0.031882163,0.023022613,0.0,Train
1490767167,9.131701,10.301431,9.674301,0.0,0.01784859,0.026563456,0.02157917,0.0,Train
1490767172,9.191898,10.53508,9.711829,0.0,0.016724732,0.029065225,0.022450509,0.0,Train
1490767178,8.058772,11.033147,9.710819,3.4641016,0.015187356,0.048154023,0.025480011,0.0,Train
